experiment,run,role,node,source_log,sync_buffer_us,sync_prep_us,guard_us,pac,phase,count,min_us,max_us,avg_us,first_slot_prep_max_us,phase_max_share_percent,result
wait_budget_baseline_fix,r3,sensor,N2,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_budget_baseline_fix_0m_g200_l15_pac8_sb3000_sp2500_20260901_spiopt/exp4_32_s3_r3_n2.log,3000,2500,200,8,sync_event_detect_to_frame_read,1000,126,126,126.0,2091,6.026,PASS
wait_budget_baseline_fix,r3,sensor,N2,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_budget_baseline_fix_0m_g200_l15_pac8_sb3000_sp2500_20260901_spiopt/exp4_32_s3_r3_n2.log,3000,2500,200,8,sync_event_detect_to_beacon_ready,1000,153,685,153.532,2091,32.759,PASS
wait_budget_baseline_fix,r3,sensor,N2,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_budget_baseline_fix_0m_g200_l15_pac8_sb3000_sp2500_20260901_spiopt/exp4_32_s3_r3_n2.log,3000,2500,200,8,sensor_data_phy_config,1000,991,991,991.0,2091,47.394,PASS
wait_budget_baseline_fix,r3,sensor,N2,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_budget_baseline_fix_0m_g200_l15_pac8_sb3000_sp2500_20260901_spiopt/exp4_32_s3_r3_n2.log,3000,2500,200,8,sensor_tx_buffer_write,1000,73,73,73.0,2091,3.491,PASS
wait_budget_baseline_fix,r3,sensor,N2,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_budget_baseline_fix_0m_g200_l15_pac8_sb3000_sp2500_20260901_spiopt/exp4_32_s3_r3_n2.log,3000,2500,200,8,sensor_delayed_tx_arm_call,1000,174,174,174.0,2091,8.321,PASS
wait_budget_baseline_fix,r3,sensor,N3,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_budget_baseline_fix_0m_g200_l15_pac8_sb3000_sp2500_20260901_spiopt/exp4_32_s3_r3_n3.log,3000,2500,200,8,sync_event_detect_to_frame_read,1000,126,126,126.0,2049,6.149,PASS
wait_budget_baseline_fix,r3,sensor,N3,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_budget_baseline_fix_0m_g200_l15_pac8_sb3000_sp2500_20260901_spiopt/exp4_32_s3_r3_n3.log,3000,2500,200,8,sync_event_detect_to_beacon_ready,1000,153,642,153.489,2049,31.332,PASS
wait_budget_baseline_fix,r3,sensor,N3,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_budget_baseline_fix_0m_g200_l15_pac8_sb3000_sp2500_20260901_spiopt/exp4_32_s3_r3_n3.log,3000,2500,200,8,sensor_data_phy_config,1000,991,991,991.0,2049,48.365,PASS
wait_budget_baseline_fix,r3,sensor,N3,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_budget_baseline_fix_0m_g200_l15_pac8_sb3000_sp2500_20260901_spiopt/exp4_32_s3_r3_n3.log,3000,2500,200,8,sensor_tx_buffer_write,1000,73,73,73.0,2049,3.563,PASS
wait_budget_baseline_fix,r3,sensor,N3,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_budget_baseline_fix_0m_g200_l15_pac8_sb3000_sp2500_20260901_spiopt/exp4_32_s3_r3_n3.log,3000,2500,200,8,sensor_delayed_tx_arm_call,1000,174,174,174.0,2049,8.492,PASS
